a_a_project,project_start_year,project_end_year,project_duration_year,mis_code_nsrf_2007_20,rtdi_sector,rtdi_subsector,scientific_field,type_of_beneficiary,type_of_research_organization,role_of_beneficiary,region,final_projects_budget_at_the_end_of_the_project,final_public_expenditure_at_the_end,pct_absorption_rate_per_budget,pct_absorption_rate_per_public_expenditure,indicator_1_new_jobs_ipa,indicator_3_new_jobs_womens_ipa,indicator_4_number_of_rdti_projects,indicator_5_num_coop_company_research_instit,indicator_6_num_of_research_job_ipa,indicator_9_num_of_jobs_ipa_smes,indicator_10_induced_investments,indicator_501_jobs_dur_the_operat_ipa,indicator_3103_num_company_res_lab_busin_collab,indicator_3104_num_new_business_rtd,indicator_3106_num_company_benef,indicator_3107_num_smes_com_benef,indicator_3110_num_of_smes_benef,indicator_3111_num_spin_off_spin_outs,indicator_3112_num_of_joint_project_other_countries,indicator_3115_num_of_patent,indicator_3121_num_of_lab_supp,indicator_3204_num_of_business_will_be_supported,indicator_6913_num_res_part,indicator_8004_stud_research_evaluat,indicator_8009_num_events,gdp_region_start_year,gdp_region_end_year,gdp_region_per_person_start_year,gdp_region_per_person_end_year,gross_value_added_region_start_year,gross_value_added_region_end_year,employment_region_start_year,employment_region_end_year,employment_r_d_number_region_start_year,employment_r_d_number_region_end_year,employment_r_d_ipa_region_start_year,employment_r_d_ipa_region_end_year,researchers_number_region_start_year,researchers_numbers_region_end_year,researchers_ipa_region_start_year,researchers_ipa_region_end_year,number_of_business_region_start_year,number_of_business_region_end_year,educational_institution_per_region,research_center_per_region,r_d_exp_region_start_year,r_d_exp_region_end_year,r_d_per_inhabitant_region_2015,r_d_exp_int_region_start_year,r_d_exp_int_region_end_year,intensity_r_d_exp_start_year,intensity_r_d_exp_end_year,percent_innov_busi_region_2010_2012,percent_company_innov_prod_region_2010_2012,exp_innov_act_region_2012,rate_busin_region_newproducts,rate_turnover_innovative_products_region_2012,rate_busin_region_collaborations_with_any_organiz,rate_busin_region_innovating_or_marketing_2012_2014,numb_sc_pub_per_million_rd_region_2011,numb_sc_pub_per_ipa_region_2011,impact_index_of_publications_by_region_2010_2014,numb_sc_pub_per_million_rd_region_2010_2014,numb_sc_pub_per_ipa_region_2015,numb_sc_pub_per_region_2010_2014,numb_report_sc_pub_region_2010_2014,numb_inter_collab_per_region_2010_2014,numb_sc_pub_per_region_2012_2016,numb_sc_pub_per_region_2012_2016_1,numb_sc_pub_per_region_2012_2016_2,numb_sc_pub_per_region_2014_2016,nuts_id,region_el,lat,lon
1,2010,2016,6,309011,Energy,Energy efficiency and savings,Engineering Sciences,Business,0,Partner,Eastern Macedonia & Thrace,300432.57,170468.74,0.9763593582673593,,1.74,0.0,0.41,0.41,6.96,0.0,0.17,6.96,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,9160,6983,14996,11277,8081,5938,238668.2,231101.1,3554,3628,945,1126,2180,2070,1509,1726,59595,90477,2,1,46.25,47.06,77.6,0.005049126637554585,0.006739223829299729,0.0014989082969432315,0.0008148360303594444,0.369,0.212,0.0036,0.091,0.084,0.096,0.281,52.7,2.4,4.44,55.1,2.3,2591,11510,787,2618,2760,16049,17844,EL51,Ανατολική Μακεδονία και Θράκη,41.12,24.89
2,2010,2016,6,310182,Energy,Electricity from renewable sources,Engineering Sciences,Research institution,Research Center,Coordinator,Crete,162045.0,162044.98,0.7045434782608696,,0.69,0.0,0.25,0.25,0.0,0.0,0.0,2.76,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10863,8606,17377,13611,9584,7506,278695.3,266486.1,6180,6793,3671,4048,4168,3981,2489,2498,68528,129132,3,4,106.1,134.72,213.3,0.009767099327994107,0.015654194747850337,0.0005983614102918163,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
3,2010,2016,6,310251,Energy,Electricity from renewable sources,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Partner,Attica,115633.9,115633.9,0.669177662037037,,0.48,0.0,0.18,0.18,1.91,0.0,0.0,1.91,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
4,2010,2016,6,310253,Energy,Energy efficiency and savings,Engineering Sciences,Research institution,Research Center,Partner,Central Makedonia,156378.03,156378.03,0.8935887428571428,,1.59,0.0,0.37,0.37,6.34,0.0,0.0,6.34,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,30136,23801,17881,14639,26587,20760,769608.6,719161.3,11952,14915,6347,7624,8553,10699,4560,5958,191292,240711,5,4,193.33,201.44,106.4,0.0064152508627555085,0.008463509936557288,0.0015758561189275287,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
5,2010,2016,6,310254,Energy,Electricity from renewable sources,Engineering Sciences,Business,0,Partner,Eastern Macedonia & Thrace,327436.28,164453.5,0.9095452222222223,,1.74,0.0,0.48,0.48,6.96,0.0,0.31,6.96,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,9160,6983,14996,11277,8081,5938,238668.2,231101.1,3554,3628,945,1126,2180,2070,1509,1726,59595,90477,2,1,46.25,47.06,77.6,0.005049126637554585,0.006739223829299729,0.0014989082969432315,0.0008148360303594444,0.369,0.212,0.0036,0.091,0.084,0.096,0.281,52.7,2.4,4.44,55.1,2.3,2591,11510,787,2618,2760,16049,17844,EL51,Ανατολική Μακεδονία και Θράκη,41.12,24.89
6,2010,2016,6,310255,Energy,Electricity from renewable sources,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Partner,Crete,54440.0,54440.0,0.6805,,0.6,0.0,0.08,0.08,2.42,0.0,0.0,2.42,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,10863,8606,17377,13611,9584,7506,278695.3,266486.1,6180,6793,3671,4048,4168,3981,2489,2498,68528,129132,3,4,106.1,134.72,213.3,0.009767099327994107,0.015654194747850337,0.0005983614102918163,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
7,2010,2016,6,310283,Energy,Energy efficiency and savings,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Partner,Eastern Macedonia & Thrace,95264.96,95264.96,0.9526496000000001,,0.71,0.0,0.22,0.22,2.84,0.0,0.0,2.84,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,9160,6983,14996,11277,8081,5938,238668.2,231101.1,3554,3628,945,1126,2180,2070,1509,1726,59595,90477,2,1,46.25,47.06,77.6,0.005049126637554585,0.006739223829299729,0.0014989082969432315,0.0008148360303594444,0.369,0.212,0.0036,0.091,0.084,0.096,0.281,52.7,2.4,4.44,55.1,2.3,2591,11510,787,2618,2760,16049,17844,EL51,Ανατολική Μακεδονία και Θράκη,41.12,24.89
8,2010,2016,6,310284,Transportation,Development and use of intelligent transport systems,Natural sciences,Research institution,Universities/Technological Education Institutes,Coordinator,Attica,138347.48,138347.48,0.833382708719637,,1.25,0.0,0.38,0.38,1.25,0.0,0.0,1.25,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
9,2010,2016,6,310285,Transportation,Development and use of intelligent transport systems,Natural sciences,Business,0,Partner,Attica,116344.66,67424.03,0.884413987077157,,1.29,0.0,0.31,0.31,1.29,0.0,0.12,1.29,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
10,2010,2016,6,310286,Transportation,Development and use of intelligent transport systems,Natural sciences,Business,0,Partner,Attica,116356.73000000001,83197.72,0.967382191553043,,1.23,0.0,0.31,0.31,1.23,0.0,0.12,1.23,1.0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,108739,83007,27199,21975,95933,72400,1823822.3,1713069.0,28413,47427,16137,24426,18664,29384,11176,17031,414397,342990,12,26,774.39,966.92,252.9,0.007121547926686837,0.011648656137434191,0.0033611675663745297,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
