region,nuts_id,region_el,lat,lon,projects,mean_absorption_budget,total_budget,total_public_expenditure,new_research_jobs,patents,spin_offs,smes_benefited,participating_firms
Attica,EL30,Αττική,37.98,23.72,1435,0.8015144855515901,233484655.32100987,191143301.2872564,2294.88,66.6,13,98,387
Central Makedonia,EL52,Κεντρική Μακεδονία,40.64,22.94,612,0.836480049687737,78923922.66571712,65003986.57718,866.73,23.5,9,75,161
Crete,EL43,Κρήτη,35.24,24.81,350,0.8144195138190725,59028556.93024167,56731468.80674167,372.0,6.5,1,9,29
Western Greece,EL63,Δυτική Ελλάδα,38.25,21.73,282,0.8149709041275676,40412622.46455746,35707761.66189552,370.81,23.0,2,23,56
Thessaly,EL61,Θεσσαλία,39.64,22.42,179,0.8219677382568701,16287483.93493342,14699369.876688551,81.33,5.0,1,15,22
Eastern Macedonia & Thrace,EL51,Ανατολική Μακεδονία και Θράκη,41.12,24.89,101,0.8354588220756209,13160220.99,11077071.22,154.42000000000002,4.25,1,12,30
Central Greece,EL64,Στερεά Ελλάδα,38.9,22.43,84,0.740164184597509,12799154.03318,8035087.4019,160.14000000000001,1.0,2,12,41
Epirus,EL54,Ήπειρος,39.67,20.85,68,0.8456095132748895,8998443.372920185,8146940.378,110.88,1.25,0,5,10
Peloponnese,EL65,Πελοπόννησος,37.5,22.37,53,0.7728744941318295,7773107.0030000005,5678783.2700000005,76.98,1.0,2,17,26
North Aegean,EL41,Βόρειο Αιγαίο,39.1,26.55,46,0.8661159822039786,6009671.21,5286117.45,51.92,0.0,1,8,11
Western Macedonia,EL53,Δυτική Μακεδονία,40.3,21.79,38,0.8547339469862352,3619068.21,2759461.31,48.73,0.0,1,8,15
Ionian Islands,EL62,Ιόνια Νησιά,39.62,19.92,11,0.8576146983494908,1264135.17,861007.39,21.53,0.0,0,5,7
